category,text
Капитальный ремонт многоквартирного дома,"Здравствуйте! В 2018 году в доме был сделан капитальный ремонт. Труба водоотведения была смонтирована ненадлежащим образом. И сейчас сточные воды утекают под дом, асфальт разрушается, и это все приводит к затоплению подвала."
Капитальный ремонт многоквартирного дома,До сих пор счетчик тепловой энергии не введен в эксплуатацию и жильцы платят по непонятным тарифам. Показания счетчика отсутствуют в платежных документах. ТРЕБУЮ разобраться.
Капитальный ремонт многоквартирного дома,"Здравствуйте! Хотелось бы уточнить,когда ожидается капитальный ремонт дома по адресу Максима Горького 39? Дело в том, что еще в 2017 году летом председатель управляющей компании на собрании говорил ,что работы по ремонту дома будут проведены в период 2018-2019 г. Однако в 2018 году сделано ничего не было и, как я посмотрела на сайте, в 2019 году тоже не ожидается ремонт?"
Капитальный ремонт многоквартирного дома,"Добрый день! Просим принять меры по устранению протечки крыши многоквартирного дома по адресу: Смоленская 15, затопило как минимум две квартиры, на 9 и 8 этаже, Управляющая компания никаких мер не предпринимает, с трудом идёт на контак о просьбах почистить крышу и предпринять временные меры до капитального ремонта, мы сами жильцы идём на крашу и чистим ее, тк этого не делают они, это не нормально"
Капитальный ремонт многоквартирного дома,"В ходе капитального ремонта было установлено новое насосное оборудование, которое ужасно шумит. Мы живем на первом этаже и мы не живем, мы выживаем. Постоянная вибрация и гул, особенно это чувствуется ночью и по утрам, когда оборудование начинает особенно громко ""завывать"".По аналогичному обращению была дана отмазка, что оборудование исправно. И она никак не отменяет того, что оно невыносимо шумитП"
Капитальный ремонт многоквартирного дома,"В подъезде вода, лёд, затруднён проход, не закрывается дверь, активное разрушение ограждающих конструкций. Причина - ливнёвая труба собрана в нарушении всех норм. Ситуация повторяется, весной, осенью, весь дождь, талый снег, все осадки, оказываются во входной группе подъезда."
Капитальный ремонт многоквартирного дома,"В 1 подъезде не стали менять распред. шкаф в тамбуре. Подрядчик сказал: данный вид работ не включён в проект, потому что через этот шкаф запитаны нежил. помещения на 1 этаже. Якобы всё согласовано. Как так-то? Шкаф изнутри весь проржавел от влажного воздуха после прорывов труб в подвале, и никакой гидроизоляции между подвалом и подъездом нет Шкаф нужно менять на новый, и делать изоляцию от подвала"
Капитальный ремонт многоквартирного дома,"26.02.2019 столкнулись с проблемой неоконченного капремонта! В обед обнаружили на своем балконе рабочего, штукатурившего низ балкона 5 го этажа при помощи автовышки. На балконе много вещей, чуть не сломали велосипед. Опасаемся за целостность и сохранность. Почему нельзя было предупредить, чтобы у жильцов была возможность убрать вещи! И почему производят штукатурку, хотя должны обшить профлистом."
Капитальный ремонт многоквартирного дома,"Подъезд №5, 3я кв. на площадке. После проведения работ по замене стояков отопления, в вечернее время (начиная с 23 часов и всю ночь) в стояке №3 слышен громкий стук который не дает уснуть ни взрослым, ни детям. Мучаемся 3 месяца. Термоголовки на батареях не работают, тк не правильно или брак. Не установлены индивидуальные приборы учета тепловой энергии. Техническая возможность имеется."
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 04 Июль 2019 - 18:40 к918кс 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 04 Июль 2019 - 18:40 с209ор 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 03 Июль 2019 - 21:10 с190кк 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 03 Июль 2019 - 20:00 е246ст 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 03 Июль 2019 - 12:30 р763мх 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 03 Июль 2019 - 12:30 н575мн 46
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 02 Июль 2019 - 20:45 с986нр 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 01 Июль 2019 - 21:30 т507ув 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 01 Июль 2019 - 21:30 а828рм 174
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 01 Июль 2019 - 21:30 р258ео 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 01 Июль 2019 - 21:30 х322кт 96
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 01 Июль 2019 - 09:00 р968не 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 01 Июль 2019 - 09:00 с002се 72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 29 Июнь 2019 - 07:05 Р094ОТ72RUS
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 27 Июнь 2019 - 10:21 к109уо
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 27 Июнь 2019 - 08:40 Н684ум72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 23 Июнь 2019 - 09:00 о848св
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 24 Июнь 2019 - 18:00 а318хн86
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 26 Июнь 2019 - 08:00 с326ео
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 24 Июнь 2019 - 20:00 у111ур
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 25 Июнь 2019 - 09:00 н728у72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 25 Июнь 2019 - 19:00 н070еа72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 24 Июнь 2019 - 16:40 к154кр72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 23 Июнь 2019 - 14:35 н636ор72
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 26 Июнь 2019 - 19:40 у093ос96
Автомобиль припаркован на газоне,Дата и время размещения транспортного средства 26 Июнь 2019 - 08:45 м690хр
Остановки общественного транспорта,На остановочном павильоне присутствуют загрязнения на территории комплекса
Остановки общественного транспорта,"Остановки общественного транспорта, У остановочного павильона повреждена"
Остановки общественного транспорта,У остановочного павильона повреждена крыша
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,На остановочном павильоне присутствуют загрязнения на территории комплекса
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположенына задней стенке с внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена крыша
Остановки общественного транспорта,На остановочном павильоне присутствуют загрязнения на стенах
Остановки общественного транспорта,На остановочном павильоне присутствуют загрязнения на стенах
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположенына задней стенке с внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,На остановочном павильоне присутствуют загрязнения на стенах
Остановки общественного транспорта,На остановочном павильоне присутствуют загрязнения на стенах
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположенына задней стенке с внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположенына задней стенке с внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена крыша
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внешней стороны"
Остановки общественного транспорта,У остановочного павильона повреждена боковая стенка
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Остановки общественного транспорта,"Объявления, надписи, изображения на остановочном павильоне расположеныс внутренней стороны"
Благоустройство дворовой территории,"Уважаемая управа, где ваш дренажный колодец? Решите раз и навсегда проблему с ""МОРЕМ"" с торца дома № 13 А, сколько можно гонять УК за НАШИ деньги откачивать воду? Может быть найдется умный человек, который сделает дренажный колодец ТАМ ГДЕ НАДО!!! Это ваши ошибки при производстве работ по благоустройству, решайте их!!!"
Благоустройство дворовой территории,"В 2018 году проходило благоустройство двора . Благоустройство включало озеленение территории, а растут только сорняки"
Благоустройство дворовой территории,"Компания ООО Дорстрой-Тюмень, которая начала работы по благоустройству двора по адресу Советская 84, снесла огромное количество деревьев. Частично повреждены клумбы у дома, прямо с цветами все вырвали. Теперь благоустройство - это снос всех деревьев и закатать всю землю под асфальт и пусть стоят машины и детишки резвятся?!Где план благоустройства двора?"
Благоустройство дворовой территории,"Добрый день! В нашем дворе, по адресу 30 лет Победы,50/1 , рабочими подрядной организации сломана единственная детская площадка, судя по информации на стенде, на этом месте будет парковка!!! Прошу отправить вашего сотрудника, чтоб посмотрел, что с трех сторон нашего дома расположены парковки!!! Может вы подскажите где нашим детям играть, и почему мы должны нюхать выхлопные газы автомобилей!!"
Благоустройство дворовой территории,"Добрый день. Дворовая территория на данный период без изменений. Двор после дождя затоплен. Вода не уходит. Никаких работ не наблюдается. Просим не отписываться законами и актами, а делать реальные действия. В какой срок будет исправлено водоотведение? Спасибо."
Благоустройство дворовой территории,Не закончили работы на водостоках. Через тротуар проходит 3 водостока. В таком состоянии находятся с осени 2018 года.
Благоустройство дворовой территории,"Добрый день, после благоустройства образовались недостатки: просадка а/б покрытие на тротуаре, повреждены лавка , водосток, покрытие площадки (резиновое).фото прилагаю"
Благоустройство дворовой территории,"После проведенного благоустройства дворовой территории не выполнены работы по озеленению территории, не посажен газон, на некоторых палисадниках не завезен грунт, просьба устранить данные нарушения."
Благоустройство дворовой территории,"Напротив второго подъезда провал грунта на газоне ровно над участком ливневой канализации, которую положили здесь в прошлом году для борьбы с затоплением проезда вдоль дома 110 по ул. Широтной. Пропал начал образоваться в прошлом же году, сейчас провалы множатся и углубляться с каждым прошедшим дождём. На вскидку уже около 1,2-2 куб. метров грунта ушло в ""ливнёвку""."
Благоустройство дворовой территории,"Около второго подъезда, рядом с уже существующей ""заплаткой"", образуется новый провал."
Благоустройство дворовой территории,"Добрый день. На территории двора, рядом с детской площадкой ООО""Водоканал"" 5 лет на 1 и том же месте ведет ремонтные работы. После данных работ, покрытие асфальта имеет глубокие ямы (рядом люк и детская площадка). Работы выполнены некачественно. Прошу обратить внимание (отремонтировать), рядом дети и они могут провалиться, а также машины."
Благоустройство дворовой территории,"Добрый день. 2 года назад была раскопана территория парковки близлежащего дома, которую обслуживает ЦАО. Далее она была засыпана щебенью без покрытия асфальтом. Когда будет отремонтирована в полном объеме? Кроме того были проведены работы ООО ""Водоканал "" во дворе дома(при въезде), и также ямы/ либо часть стоянки засыпана щебенью."
Благоустройство дворовой территории,"Добрый день, снова сломалась крышка у мусорного бака. ( обращение было на сайте ) Знаем ,что в Тюмене в этом году администрация города производила замену мусорных баков.Просим произвести замену (уже дважды сломанного) мусорного бака на территории нашего двора. Скоро наступит тепло и весь аромат и антисанитарные запахи будут гулять по всему двору, а особенно это будут чувствовать жильцы 1 этажей."
Благоустройство дворовой территории,"добавьте пожалуйста освещение (невысокие столбы с светодиодными лампами) на пеших дорожках к домам , кусты и елочки ( зимнее озеление красивее лысых деревьев садить везде,кроме одного места около люка , копают часто). покажу планировку на фото до и после"
Благоустройство дворовой территории,"Здравствуйте. В 2015 или 2014 году проведено благоустроиство дворовой территории нашего дома, но не выполнена ливневая канализация. Во время любого дождя вся вода с дворовой территории скапливается у 8 и 7 подъездов. Выйти из подъезда можно только в резиновых сапогах. Неоднократно обращались в управл.компанию - результата нет. Помогите. Фото прилагается."
Благоустройство дворовой территории,"17.05.2019 год. Затопленная территория двора д.113 по ул. Волгоградская, после благоустройства двора."
Благоустройство дворовой территории,"После уборки смерзшегося строительного мусора подрядной организацией были оставлены дефекты бордюрного камня и асфальтобетонного покрытия. Прошу осуществить устранение дефектов покрытия в рамках гарантийных обязательств, с заменой бортового камня, в виду несоответствия его внешнего вида п5.2, ГОСТ 32961-2014."
Благоустройство дворовой территории,некачественный монтаж ограждения. секция просела и отломилась от близлежащих. прошу привлечь подрядную организацию к устранению в рамках гарантийных обязательств.
Благоустройство дворовой территории,"После строительства дороги в 2018 году по ул. Энергостроителей, территорию двора в районе 2-го подъезда по ул. Энергостроителей, д.23 стало подтоплять. Главному инженеру ООО «УК «Русь», на стадии строительства дороги, жильцы дома говорили о том, что дорога выше и территорию будет подтоплять. Прошу выяснить причину подтопления двора и принять меры по ее устранению."
Благоустройство дворовой территории,После благоустройства на тротуаре появились трещины. Вдоль проезжей части и бордюром трещина от 5 см..Ситуация аналогичная и с тротуаром по ул. Рижская 80. Прошу принять меры во избежании дальнейшего разрушения.
Благоустройство дворовой территории,"Опора освещения, не закрыта технологическая крышка, торчат оголенные. Провода."
Благоустройство дворовой территории,Здравствуйте. Летом 2018 года было произведено благоустройство придомовой территории многоквартирного дома 14 по ул Домостроителей г Тюмени - с фасадной части здания (около входных групп). 1. Планируется ли ремонт отмостки задней части здания (со стороны Домостроителей 14/1). 2. Планируется ли ограждение зелёной зоны. 3. Кому принадлежит данный зем.участок и лицо ответственное за его содержание
Парки и скверы,"Добрый день, хочу сообщать о состоянии сквера Депутатов: В последние годы сквер находится в плохом состоянии. Клумбы в траве, цветов нет( на фото Центральный квадрат), асфальт в трещинах( дети катающиеся на роликах и самокатах при попадании в них падают.),Столбы освещения в ужасном состоянии. Прошу хоть как то отреагировать на это. сквер посещает очень большое кол-во людей, хочется порядка."
